user_id,event_type,query,timestamp,product_id
1,search,electronics,2026-09-19 21:44:27.917920,
1,search,java,2026-09-19 21:54:54.342341,
1,search,electronics,2026-09-19 21:57:48.901997,
1,search,java,2026-09-19 21:58:18.816587,
1,search,electronics,2026-09-19 22:00:12.828631,
1,search,electronics,2026-09-19 22:01:46.147367,
1,search,electronics,2026-09-19 22:20:26.346534,
1,search,bottle,2026-09-19 22:21:09.400528,
1,search,bottle,2026-09-19 22:21:20.518951,
1,search,cloud,2026-09-19 22:21:34.080904,
1,search,bottle,2026-09-19 22:22:00.847946,
1,search,bottle,2026-09-19 22:22:01.329096,
1,search,bottle,2026-09-19 22:22:01.571082,
1,search,bottle,2026-09-19 22:22:01.827673,
1,search,bottle,2026-09-19 22:22:02.109292,
1,search,bottle,2026-09-19 22:22:02.284160,
1,search,bottle,2026-09-19 22:22:02.641892,
1,search,bottle,2026-09-19 22:22:03.885626,
1,search,bottle,2026-09-19 22:22:05.221792,
1,search,bottle,2026-09-19 22:22:05.819453,
1,search,bottle,2026-09-19 22:22:06.026755,
1,search,bottle,2026-09-19 22:22:06.292445,
1,search,bottle,2026-09-19 22:22:06.572924,
1,search,bottle,2026-09-19 22:22:06.791972,
1,click,,2026-09-19 22:35:57.534891,39.0
1,click,,2026-09-19 22:36:09.910227,99.0
1,click,,2026-09-19 22:36:15.064331,159.0
1,search,books,2026-09-19 22:41:01.129955,
1,click,,2026-09-19 22:41:46.392626,39.0
1,search,books,2026-09-19 22:48:27.352132,
1,click,,2026-09-19 22:48:34.646609,88.0
1,click,,2026-09-19 22:48:45.152468,147.0
1,search,books,2026-09-20 19:37:36.397768,
1,click,,2026-09-20 19:37:39.555021,23.0
1,click,,2026-09-20 19:40:32.440938,24.0
1,search,books,2026-09-20 19:40:45.671372,
1,click,,2026-09-20 19:40:48.526848,22.0
1,search,books,2026-09-20 19:43:42.042898,
1,click,,2026-09-20 19:43:53.588446,147.0
1,search,bottle,2026-09-20 19:48:11.219640,
1,click,,2026-09-20 19:48:22.379192,99.0
1,search,electronics,2026-09-20 19:51:33.985691,
1,click,,2026-09-20 19:51:37.252107,2.0
1,search,bottle,2026-09-20 19:52:01.090423,
1,click,,2026-09-20 19:52:03.908534,99.0
1,search,books,2026-09-20 19:55:30.089121,
1,click,,2026-09-20 19:55:32.121552,22.0
1,click,,2026-09-20 19:55:47.160753,21.0
1,click,,2026-09-20 19:55:59.028002,30.0
1,search,bottle,2026-09-20 20:01:16.622489,
1,click,,2026-09-20 20:01:20.777063,99.0
1,search,carpet,2026-09-20 20:05:23.305572,
1,search,bag,2026-09-20 20:05:32.768533,
1,search,shirt,2026-09-20 20:05:45.085791,
1,click,,2026-09-20 20:05:52.027900,71.0
1,search,chair,2026-09-20 20:10:23.755805,
1,click,,2026-09-20 20:10:28.775927,32.0
1,click,,2026-09-20 20:14:03.397619,92.0
1,click,,2026-09-20 20:15:25.510408,92.0
1,click,,2026-09-20 20:15:34.028866,152.0
1,search,bottle,2026-09-20 20:17:25.914998,
1,click,,2026-09-20 20:17:28.785018,39.0
1,search,electronics,2026-09-20 20:44:05.429745,
1,click,,2026-09-20 20:44:09.709541,4.0
