user_id,product_id,event_type,timestamp,rating
334,102,view,2026-01-01 00:14:24,0
685,148,click,2026-01-01 00:16:45,0
592,178,click,2026-01-01 00:23:23,0
285,186,purchase,2026-01-01 00:25:58,0
667,162,cart,2026-01-01 00:26:06,0
316,7,click,2026-01-01 00:29:38,0
706,10,view,2026-01-01 00:37:11,0
267,95,purchase,2026-01-01 00:41:15,0
96,103,click,2026-01-01 00:50:40,0
991,153,click,2026-01-01 01:02:14,0
115,128,view,2026-01-01 01:05:20,0
896,111,view,2026-01-01 01:09:01,0
786,119,view,2026-01-01 01:20:33,0
740,179,view,2026-01-01 01:25:49,0
873,149,click,2026-01-01 01:26:30,0
839,99,cart,2026-01-01 01:28:35,0
856,132,click,2026-01-01 01:41:29,0
10,47,click,2026-01-01 01:53:48,0
677,170,cart,2026-01-01 01:55:34,0
188,87,view,2026-01-01 02:10:47,0
233,156,click,2026-01-01 02:11:33,0
973,38,click,2026-01-01 02:13:34,0
107,98,view,2026-01-01 02:28:33,0
224,140,view,2026-01-01 02:36:49,0
741,169,view,2026-01-01 02:39:32,0
537,43,click,2026-01-01 03:03:02,0
894,37,view,2026-01-01 03:13:34,0
246,92,view,2026-01-01 03:15:08,0
50,100,view,2026-01-01 03:15:58,0
851,191,view,2026-01-01 03:37:04,0
163,61,view,2026-01-01 03:48:43,0
672,107,click,2026-01-01 03:49:18,0
112,49,view,2026-01-01 03:49:25,0
531,108,cart,2026-01-01 03:57:18,0
491,199,view,2026-01-01 04:00:01,0
822,111,purchase,2026-01-01 04:07:01,0
73,196,click,2026-01-01 04:08:42,0
401,98,view,2026-01-01 04:21:32,0
495,32,click,2026-01-01 04:28:47,0
210,94,cart,2026-01-01 04:30:09,0
398,55,view,2026-01-01 04:30:59,0
749,106,view,2026-01-01 04:31:08,0
810,200,view,2026-01-01 04:54:26,0
751,176,view,2026-01-01 04:59:08,0
684,117,click,2026-01-01 05:06:41,0
130,30,view,2026-01-01 05:06:50,0
866,103,click,2026-01-01 05:07:36,0
92,58,cart,2026-01-01 05:17:17,0
898,122,view,2026-01-01 05:20:35,0
52,69,view,2026-01-01 05:32:55,0
83,111,click,2026-01-01 05:34:49,0
586,62,view,2026-01-01 05:35:30,0
819,32,view,2026-01-01 05:38:31,0
141,143,cart,2026-01-01 05:39:15,0
430,78,view,2026-01-01 05:41:57,0
705,115,view,2026-01-01 05:42:44,0
528,139,click,2026-01-01 05:48:25,0
509,161,click,2026-01-01 05:52:27,0
929,1,view,2026-01-01 05:52:57,0
65,187,view,2026-01-01 06:01:52,0
351,132,view,2026-01-01 06:05:36,0
639,11,view,2026-01-01 06:31:37,0
510,104,click,2026-01-01 06:46:11,0
337,8,click,2026-01-01 06:51:47,0
527,148,cart,2026-01-01 06:51:50,0
135,101,click,2026-01-01 07:02:56,0
99,189,click,2026-01-01 07:17:16,0
597,143,click,2026-01-01 07:17:29,0
9,176,view,2026-01-01 07:17:34,0
216,1,view,2026-01-01 07:19:14,0
648,164,click,2026-01-01 07:26:16,0
34,4,cart,2026-01-01 07:31:57,0
53,168,view,2026-01-01 07:32:50,0
850,55,view,2026-01-01 07:44:01,0
252,87,click,2026-01-01 07:54:37,0
487,69,purchase,2026-01-01 07:55:01,0
98,114,view,2026-01-01 07:56:06,0
333,145,click,2026-01-01 07:57:11,0
699,169,view,2026-01-01 08:07:49,0
69,14,view,2026-01-01 08:31:41,0
336,124,view,2026-01-01 08:34:05,0
156,42,view,2026-01-01 08:36:20,0
197,148,click,2026-01-01 08:39:56,0
887,170,view,2026-01-01 08:41:55,0
707,18,review,2026-01-01 08:42:32,4
756,100,view,2026-01-01 08:46:40,0
601,99,view,2026-01-01 08:50:00,0
714,44,view,2026-01-01 08:59:42,0
881,101,click,2026-01-01 08:59:46,0
337,44,view,2026-01-01 09:11:53,0
867,47,view,2026-01-01 09:16:59,0
825,45,view,2026-01-01 09:17:15,0
185,101,view,2026-01-01 09:18:22,0
172,76,view,2026-01-01 09:24:59,0
836,140,view,2026-01-01 09:25:49,0
426,127,review,2026-01-01 09:35:57,3
647,28,view,2026-01-01 09:43:20,0
238,169,click,2026-01-01 09:48:43,0
518,87,click,2026-01-01 09:55:50,0
299,21,click,2026-01-01 09:56:11,0
842,165,view,2026-01-01 09:58:05,0
293,60,view,2026-01-01 09:58:14,0
404,169,view,2026-01-01 10:06:20,0
808,153,click,2026-01-01 10:09:13,0
622,152,view,2026-01-01 10:15:07,0
234,111,view,2026-01-01 10:15:52,0
394,25,view,2026-01-01 10:18:29,0
798,48,click,2026-01-01 10:19:27,0
826,27,view,2026-01-01 10:20:42,0
219,150,view,2026-01-01 10:24:45,0
