user_id,product_id,product_name,category,recommendation_score
1,26,Operating Systems Book 26,Books,0.8967999815940857
1,28,Java Programming Book 28,Books,0.8964807391166687
1,24,AI Fundamentals Book 24,Books,0.8955095410346985
1,30,Cloud Computing Book 30,Books,0.8890753388404846
1,27,Computer Networks Book 27,Books,0.8845074772834778
2,58,Body Lotion 58,Beauty,0.86197829246521
2,59,Face Cream 59,Beauty,0.8530105352401733
2,54,Perfume 54,Beauty,0.8498399257659912
2,52,Moisturizer 52,Beauty,0.8493636250495911
2,53,Shampoo 53,Beauty,0.8466179370880127
3,152,Ergonomic Office Chair 152,Home,0.8672757148742676
3,154,Window Curtains 154,Home,0.8594424724578857
3,155,Wall Clock 155,Home,0.8559815883636475
3,156,Storage Organizer 156,Home,0.8301241993904114
3,153,Cotton Bed Sheet 153,Home,0.8297973871231079
4,125,Tablet 125,Electronics,0.9647722840309143
4,130,Bluetooth Speaker 130,Electronics,0.9124490022659302
4,123,Wireless Headphones 123,Electronics,0.8970519304275513
4,124,Smartwatch 124,Electronics,0.8969404101371765
4,127,Mechanical Keyboard 127,Electronics,0.8915345668792725
5,58,Body Lotion 58,Beauty,0.8178021907806396
5,54,Perfume 54,Beauty,0.7959230542182922
5,60,Beauty Care Kit 60,Beauty,0.7787138819694519
5,52,Moisturizer 52,Beauty,0.7770425081253052
5,55,Sunscreen 55,Beauty,0.7649328112602234
6,8,Wireless Mouse 8,Electronics,0.8574649691581726
6,5,Tablet 5,Electronics,0.8486155271530151
6,2,Laptop 2,Electronics,0.8333598375320435
6,10,Bluetooth Speaker 10,Electronics,0.8247566223144531
6,6,Digital Camera 6,Electronics,0.8084630966186523
7,87,Computer Networks Book 87,Books,0.8489220142364502
7,83,Machine Learning Book 83,Books,0.8345698118209839
7,90,Cloud Computing Book 90,Books,0.8178672790527344
7,89,Algorithms Book 89,Books,0.8151620626449585
7,84,AI Fundamentals Book 84,Books,0.7880469560623169
8,93,Cotton Bed Sheet 93,Home,0.9117676019668579
8,95,Wall Clock 95,Home,0.9097275733947754
8,91,Table Lamp 91,Home,0.9045177102088928
8,94,Window Curtains 94,Home,0.8998225927352905
8,96,Storage Organizer 96,Home,0.8970617651939392
9,175,Sunscreen 175,Beauty,0.864513099193573
9,176,Lip Balm 176,Beauty,0.834689736366272
9,177,Hair Oil 177,Beauty,0.8299676179885864
9,179,Face Cream 179,Beauty,0.8144077062606812
9,172,Moisturizer 172,Beauty,0.8021352291107178
10,42,Cricket Bat 42,Sports,0.929036021232605
10,45,Gym Gloves 45,Sports,0.9221599698066711
10,50,Fitness Band 50,Sports,0.8982184529304504
10,43,Badminton Racket 43,Sports,0.8905455470085144
10,46,Yoga Mat 46,Sports,0.8862520456314087
11,99,Steel Water Bottle 99,Home,0.8803404569625854
11,94,Window Curtains 94,Home,0.8749836087226868
11,91,Table Lamp 91,Home,0.873466968536377
11,97,Decorative Cushion 97,Home,0.8696826696395874
11,92,Ergonomic Office Chair 92,Home,0.8587674498558044
12,17,Wrist Watch 17,Fashion,0.8179693222045898
12,14,Running Sneakers 14,Fashion,0.8088400363922119
12,13,Casual Jacket 13,Fashion,0.7922309637069702
12,11,Cotton T-Shirt 11,Fashion,0.7919450998306274
12,19,Casual Shoes 19,Fashion,0.7843507528305054
13,175,Sunscreen 175,Beauty,0.7735130786895752
13,180,Beauty Care Kit 180,Beauty,0.7729018330574036
13,179,Face Cream 179,Beauty,0.7576095461845398
13,178,Body Lotion 178,Beauty,0.7502691745758057
13,176,Lip Balm 176,Beauty,0.7435798645019531
14,104,Tennis Ball Set 104,Sports,0.9416857957839966
14,106,Yoga Mat 106,Sports,0.9137564897537231
14,101,Football 101,Sports,0.9129535555839539
14,108,Sports Shoes 108,Sports,0.8991634845733643
14,102,Cricket Bat 102,Sports,0.8907556533813477
15,17,Wrist Watch 17,Fashion,0.7544878721237183
15,14,Running Sneakers 14,Fashion,0.7538051605224609
15,11,Cotton T-Shirt 11,Fashion,0.7326974868774414
15,13,Casual Jacket 13,Fashion,0.7311704158782959
15,18,Sunglasses 18,Fashion,0.7277727127075195
16,154,Window Curtains 154,Home,0.8240839242935181
16,155,Wall Clock 155,Home,0.7894632816314697
16,151,Table Lamp 151,Home,0.7868602275848389
16,152,Ergonomic Office Chair 152,Home,0.786247730255127
16,159,Steel Water Bottle 159,Home,0.770736575126648
17,169,Adjustable Dumbbells 169,Sports,0.8666106462478638
17,170,Fitness Band 170,Sports,0.8656629920005798
17,168,Sports Shoes 168,Sports,0.8477058410644531
17,162,Cricket Bat 162,Sports,0.8276680707931519
17,167,Skipping Rope 167,Sports,0.8158237934112549
18,14,Running Sneakers 14,Fashion,0.89109206199646
18,17,Wrist Watch 17,Fashion,0.8882450461387634
18,11,Cotton T-Shirt 11,Fashion,0.8861116170883179
18,12,Slim Fit Jeans 12,Fashion,0.8785439133644104
18,19,Casual Shoes 19,Fashion,0.8724762201309204
19,29,Algorithms Book 29,Books,0.8769615888595581
19,26,Operating Systems Book 26,Books,0.8702138662338257
19,27,Computer Networks Book 27,Books,0.8596144318580627
19,28,Java Programming Book 28,Books,0.8565152883529663
19,30,Cloud Computing Book 30,Books,0.8528720736503601
20,28,Java Programming Book 28,Books,0.8662981390953064
20,21,Python Programming Book 21,Books,0.8439903855323792
20,30,Cloud Computing Book 30,Books,0.8438127040863037
20,26,Operating Systems Book 26,Books,0.8433586359024048
20,24,AI Fundamentals Book 24,Books,0.8271422386169434
21,27,Computer Networks Book 27,Books,0.8784711956977844
21,24,AI Fundamentals Book 24,Books,0.8755161762237549
21,30,Cloud Computing Book 30,Books,0.8704958558082581
21,28,Java Programming Book 28,Books,0.8694479465484619
21,26,Operating Systems Book 26,Books,0.869378924369812
22,127,Mechanical Keyboard 127,Electronics,0.9019164443016052
22,125,Tablet 125,Electronics,0.8960553407669067
22,121,Smartphone 121,Electronics,0.8946570754051208
22,129,Computer Monitor 129,Electronics,0.890510618686676
22,126,Digital Camera 126,Electronics,0.88797527551651
23,188,Wireless Mouse 188,Electronics,0.8538159728050232
23,184,Smartwatch 184,Electronics,0.8526081442832947
23,183,Wireless Headphones 183,Electronics,0.8439371585845947
23,187,Mechanical Keyboard 187,Electronics,0.8209491968154907
23,181,Smartphone 181,Electronics,0.8205220699310303
24,184,Smartwatch 184,Electronics,0.8355985283851624
24,185,Tablet 185,Electronics,0.8209867477416992
24,183,Wireless Headphones 183,Electronics,0.8179944753646851
24,189,Computer Monitor 189,Electronics,0.8109277486801147
24,188,Wireless Mouse 188,Electronics,0.8000130653381348
25,14,Running Sneakers 14,Fashion,0.7281957864761353
25,15,Pullover Hoodie 15,Fashion,0.7279374003410339
25,17,Wrist Watch 17,Fashion,0.716395914554596
25,19,Casual Shoes 19,Fashion,0.7113457322120667
25,13,Casual Jacket 13,Fashion,0.7089641690254211
26,26,Operating Systems Book 26,Books,0.9710864424705505
26,30,Cloud Computing Book 30,Books,0.9391347765922546
